"ano_ingresso_destino","periodo_ingresso_destino","curso_origem","forma_reingresso"
2019,2,"ZOOTECNIA","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE COMPUTAÇÃO","PROCESSO SELETIVO ENEM"
2019,1,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2019,1,"ENFERMAGEM","SELEÇÃO SISU"
2019,2,"ODONTOLOGIA","SELEÇÃO SISU"
2019,1,"PSICOLOGIA","SELEÇÃO SISU"
2019,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2019,2,"ZOOTECNIA","SELEÇÃO SISU"
2019,2,"AGRONOMIA","SELEÇÃO SISU"
2019,2,"DIREITO (DIURNO)","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2019,2,"ZOOTECNIA","SELEÇÃO SISU"
2019,2,"ECONOMIA ECOLÓGICA","SELEÇÃO SISU"
2019,1,"CIÊNCIAS CONTÁBEIS (DIURNO)","SELEÇÃO SISU"
2019,2,"AGRONOMIA","SELEÇÃO SISU"
2019,2,"AGRONOMIA","SELEÇÃO SISU"
2019,2,"LETRAS","SELEÇÃO SISU"
2019,2,"ECONOMIA ECOLÓGICA","SELEÇÃO SISU"
2019,1,"SISTEMAS E MÍDIAS DIGITAIS (NOTURNO)","TRANSF REGULAR"
2019,1,"PEDAGOGIA (DIURNO)","SELEÇÃO SISU"
2019,2,"CIÊNCIAS ECONÔMICAS (NOTURNO)","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2019,1,"CIÊNCIAS ECONÔMICAS","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2019,1,"ENFERMAGEM","SELEÇÃO SISU"
2019,2,"MEDICINA - SOBRAL","SELEÇÃO SISU"
2019,2,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2019,1,"FARMÁCIA","SELEÇÃO SISU"
2019,1,"CIÊNCIAS CONTÁBEIS (DIURNO)","SELEÇÃO SISU"
2019,1,"EDUCACAO FÍSICA - BACHARELADO (DIURNO)","SELEÇÃO SISU"
2019,2,"CIÊNCIAS CONTÁBEIS (DIURNO)","SELEÇÃO SISU"
2019,1,"SISTEMAS E MÍDIAS DIGITAIS (NOTURNO)","SELEÇÃO SISU"
2019,1,"CIÊNCIAS ECONÔMICAS (DIURNO)","SELEÇÃO SISU"
2019,1,"DIREITO (DIURNO)","SELEÇÃO SISU"
2019,1,"ODONTOLOGIA","SELEÇÃO SISU"
2019,1,"EDUCACAO FÍSICA - BACHARELADO (DIURNO)","SELEÇÃO SISU"
2019,1,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2019,1,"MATEMÁTICA - BACHARELADO","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2018,2,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2019,2,"ENFERMAGEM","MUDANCA DE CURSO"
2019,1,"COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA","CONV PEC-G/MUD CURSO"
2019,2,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2018,2,"ENFERMAGEM","SELEÇÃO SISU"
2018,2,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2019,2,"GEOGRAFIA","MUDANCA DE CURSO"
2018,2,"ZOOTECNIA","SELEÇÃO SISU"
2018,2,"GEOGRAFIA","SELEÇÃO SISU"
2019,1,"ESTATÍSTICA","SELEÇÃO SISU"
2019,2,"CIÊNCIAS ECONÔMICAS (NOTURNO)","SELEÇÃO SISU"
2019,2,"QUÍMICA - LICENCIATURA","MUDANCA DE CURSO"
2018,2,"CIÊNCIAS CONTÁBEIS (NOTURNO)","SELEÇÃO SISU"
2019,2,"MATEMÁTICA - LICENCIATURA","MUDANCA DE CURSO"
2018,2,"PSICOLOGIA/CCGPSIC - SOBRAL","SELEÇÃO SISU"
2018,2,"COMUNICAÇÃO SOCIAL - JORNALISMO","SELEÇÃO SISU"
2018,2,"PSICOLOGIA/CCGPSIC - SOBRAL","SELEÇÃO SISU"
2018,2,"CINEMA E AUDIOVISUAL","SELEÇÃO SISU"
2018,2,"CIÊNCIAS CONTÁBEIS (NOTURNO)","SELEÇÃO SISU"
2019,2,"MATEMÁTICA - LICENCIATURA","SELEÇÃO SISU"
2018,2,"PSICOLOGIA/CCGPSIC - SOBRAL","SELEÇÃO SISU"
2018,2,"GESTÃO DE POLÍTICAS PÚBLICAS","SELEÇÃO SISU"
2018,2,"HISTÓRIA","SELEÇÃO SISU"
2018,2,"CIÊNCIAS SOCIAIS (NOTURNO)","SELEÇÃO SISU"
2018,2,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2019,2,"FISIOTERAPIA","SELEÇÃO SISU"
2018,2,"CINEMA E AUDIOVISUAL","SELEÇÃO SISU"
2018,2,"LETRAS","SELEÇÃO SISU"
2018,2,"LETRAS","SELEÇÃO SISU"
2019,1,"FINANÇAS","SELEÇÃO SISU"
2019,2,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE COMPUTAÇÃO","SELEÇÃO SISU"
2019,1,"LETRAS - INGLÊS","SELEÇÃO SISU"
2019,1,"ODONTOLOGIA","SELEÇÃO SISU"
2019,2,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2019,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","SELEÇÃO SISU"
2019,2,"LETRAS - ESPANHOL","MUDANCA DE CURSO"
2019,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2018,2,"BIOTECNOLOGIA","SELEÇÃO SISU"
2018,2,"ENFERMAGEM","SELEÇÃO SISU"
2018,2,"ENGENHARIA METALÚRGICA","SELEÇÃO SISU"
2018,2,"CIÊNCIAS AMBIENTAIS","SELEÇÃO SISU"
2018,2,"ENGENHARIA DE SOFTWARE","SELEÇÃO SISU"
2018,2,"FISIOTERAPIA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE MINAS","SELEÇÃO SISU"
2018,2,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2018,2,"PSICOLOGIA/CCGPSIC - SOBRAL","SELEÇÃO SISU"
2018,2,"DESIGN","SELEÇÃO SISU"
2019,2,"MEDICINA - SOBRAL","SELEÇÃO SISU"
2019,2,"OCEANOGRAFIA","SELEÇÃO SISU"
2018,2,"ENGENHARIA MECÂNICA","SELEÇÃO SISU"
2019,2,"PEDAGOGIA (NOTURNO)","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2019,2,"CIÊNCIAS ECONÔMICAS (NOTURNO)","MUDANCA DE CURSO"
2019,1,"GEOGRAFIA","SELEÇÃO SISU"
2019,1,"ENGENHARIA METALÚRGICA","SELEÇÃO SISU"
2019,1,"OCEANOGRAFIA","SELEÇÃO SISU"
2019,1,"PSICOLOGIA/CCGPSIC - SOBRAL","SELEÇÃO SISU"
2019,1,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2018,2,"ZOOTECNIA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE COMPUTAÇÃO","SELEÇÃO SISU"
2018,2,"FILOSOFIA","PROCESSO SELETIVO ENEM"
2019,1,"BIOTECNOLOGIA","SELEÇÃO SISU"
2019,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2019,2,"ZOOTECNIA","SELEÇÃO SISU"
2019,2,"ENGENHARIA CIVIL","SELEÇÃO SISU"
